제목,날짜,신문사,링크
중1·초5~6학년 등교…집단감염 가능성 여전,2020.06.08,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=976833
'잘 다녀올게요!',2020.06.08,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009902489
[연합뉴스 이 시각 헤드라인] - 12:00,2020.04.16,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=001&aid=0011553714
온라인 개학 참여한 돌봄교실 신청 학생,2020.04.16,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009819838
모니터 옆 언니·형·엄마·아빠…初저학년 '온라인 가족개학'(종합),2020.04.20,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004597181
"초 1·2 학교수업, EBS 시청으로 대체…문제는 '학습 효과'",2020.04.05,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003453686
13일 순차 ‘등교개학’…학부모 돌봄부담 한계 vs 어린 학생 감염 우려 [김현...,2020.05.05,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003462219
'긴급돌봄' 제공하는 우리동네키움센터…코로나 예방에 중점,2020.03.27,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011502668
7월 급식대란 오나…조리원들 삭발하고 거리로,2019.06.17,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004375210
"돌봄교실 신청 학생, 텅 빈 교실 온라인 개학식 참여",2020.04.16,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009819836
'화장실 가려면 이렇게' 2차 온라인 개학 첫날,2020.04.16,SBS,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=055&aid=0000808435
내 아이 초등학교 들어가도 걱정 뚝~,2018.03.09,정책브리핑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=298&aid=0000242417
[우리 학교 최고] '행복·보람·감동이 있는' 서울 한강초등,2015.10.15,소년한국일보,http://kids.hankooki.com/lpage/news/201510/kd20151015161408125630.htm
"서울교육청, 모든 학생에게 면마스크 무상 지급",2020.03.16,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=959524
"[2020 하경정] 유전자 치료 연구 빗장 연다...""해외 수준으로 확대""",2020.06.01,아주경제,http://www.ajunews.com/view/20200601135732986
"초유의 ‘4월 개학’, 수능도 미뤄질까…“개학과 동시에 발표”",2020.03.18,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003448116
"용산구, 전통놀이 시민강사 22명 양성",2017.11.06,신아일보,http://www.shinailbo.co.kr/news/articleView.html?idxno=1011756
"""고용안정·처우개선 없는 초등돌봄전담사 확충은 땜질식 정책""",2018.04.12,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=817947
[사진]온라인 개학식 실시,2020.04.16,머니투데이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004395387
"개학은 연기, 입학식은 취소… ‘사스’ 추월한 신종 코로나에 교육계 비상",2020.02.03,에듀동아,http://edu.donga.com/?p=article&ps=view&at_no=20200203172059552296
"용산구, 우리동네 키움센터 5호점 문 열어",2020.07.29,아시아뉴스통신,http://www.anewsa.com/detail.php?number=2186682&thread=09
제초제도 뿌려야 하는 초등 체육강사…“노동보다 힘든 건 인격모독”,2017.06.22,파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0003833255
[포토] 원효초 돌봄학교 화재대피훈련,2019.10.30,국민일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001254295
서울삼광초 '꿈담 놀이터' 방문한 조희연 교육감,2019.11.01,에듀인뉴스,http://www.eduinnews.co.kr/news/articleView.html?idxno=22608
신종 코로나 불안감 확산 … 충북 화훼업계 시름,2020.02.03,충청타임즈,http://www.cctimes.kr/news/articleView.html?idxno=600382
‘임시 공휴일’에 대해 알아야 할 7가지,2016.04.26,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=028&aid=0002315876
"[서울 마을뉴스] 어린이 차량갇힘생존체험장,용산구치매안심마을,청년일자리해...",2018.12.14,베이비타임즈,http://www.babytimes.co.kr/news/articleView.html?idxno=23873
"예민할 수 밖에 없는 1학년, 3월에는 많이 품어주세요",2018.02.27,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002400388
“작은 학교도 아름답다”…서울시교육청 활성화 정책 추진,2016.10.12,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002337093
"개학연기 대안으로 떠오른 가족돌봄휴가제, 아이돌봄 서비스는?",2020.02.23,여성조,http://woman.chosun.com/client/news/viw.asp?cate=C01&mcate=M1001&nNewsNumb=20200264419
"정부, 개학 재연장 여부 검토…오늘 부총리 주재 회의",2020.03.09,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004593215
소상공인·특고 지원금 이르면 28일 1차 지급할 듯,2020.09.20,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=022&aid=0003505127
서울시내 초등 돌봄교실 이용률 지역·학교별 최대 45배 차이,29면   2014,서울경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=011&aid=0002499157
"'1수업 2교사'가 임용절벽 대책?···""교실 혼란 불 보듯""",2017.08.13,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0008118927
응급실로 실려가는 아이들... 비대면 수업에 대한 경고장,2020.09.22,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002285618
"용산구, 거리환경 지킴이 등 어르신 일자리 참여자 모집",2013.01.22,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0002920509
"낯선 환경은 위기이자 기회, 그러면서 아이는 자란다",2017.02.28,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002355077
[단독] 사라진 아이들…120년역사 서울 교동초 신입생 28명,2면   2016.,매일경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0003780123
5월 최장 11일 황금연휴… 맞벌이 학부모는 벌써 한숨,2017.03.15,한국일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000192837
학비 부담 줄이고 교육 다양성 키운다,2009.03.03,정책브리핑,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=298&aid=0000012722
다문화가정 돌봄 정부·대학 나섰다,2010.06.01,헤럴드경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=016&aid=0000346804
[Who Is ?] 박원순 서울특별시 시장,2020.01.07,비즈니스포스트,http://www.businesspost.co.kr/BP?command=article_view&num=158387
홈스쿨링에 시차통학까지…각국 학교 '코로나19 팬데믹' 각양각색 대책,2020.04.21,오가닉라이프신문,https://www.iloveorganic.co.kr/news/articleView.html?idxno=306516
내일 '3차 등교'…'학원 방역'에 성패 달렸다,2020.06.02,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004671046
"“‘설국열차’ 같은 사회, 저출산 불러와”…한국의 저출산 해결책은?",2020.08.05,동아일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=020&aid=0003301728
27일부터 등교인데… 강서 미술학원서 6살 유치원생 확진,2020.05.25,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003468451
"수도권 등교, 고교는 3분의2만…유치원과 초·중은 3분의1 이하만 가능",2020.05.29,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009887582
커지는 ‘등교수업 확대’ 요구 목소리… 교육부는 ‘신중’,2020.09.24,세계일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003506768
벼랑 끝 내몰린 자영업자들…“더이상 버틸 힘이 없어요”,2면   2020.,경향신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=032&aid=0003030683
“脫가족-脫노동 가속화… 저출산은 총체적 사회문제”,24면1단  202,동아일보,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=020&aid=0003301786
가난한 사람들 재난에 직격탄…합리적 차별이 평등,2020.05.12,한겨레,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=028&aid=0002496873
"""등교 상한선, 전교생 2/3 이하로""",2020.05.25,내일신문,http://www.naeil.com/news_view/?id_art=350405
"비례대표 1번 급식 노동자, 동료들은 울었다",2020.04.12,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=047&aid=0002265870
"[퇴근길 뉴스]靑 ""북한 총격살해·시신훼손 책임자 엄중 처벌해야""",2020.09.24,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004745231
"'돌봄교실 지자체 이관' 특별법 갑론을박...""환영한다"" vs ""결사반대""",2020.09.14,뉴스핌,http://www.newspim.com/news/view/20200914000551
'방역도 양극화' 한달새 2배이상 뛴 마스크값 빈곤층에 큰 부담,2020.02.04,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011375565
"""우리 회사는 재택근무 안하나요?"" 재택근무 기준 어떻게 되나요",2020.02.26,아시아경제,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004631555
"""돌봄전담사 노동조건 개선해야""…올 하반기 파업예고",2020.06.25,뉴스1,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0004717887
"""코로나 최전선서 아동 돌봐""…돌봄교사들, 처우 개선 촉구",2020.06.25,이데일리,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=018&aid=0004673437
"개학 연기 철회한 사립유치원 원장 ""나도 엄마라서""",2019.03.04,오마이뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002219207
전남 학생 60명 이하 초·중 등교 13→20일,2020.05.12,뉴시스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0009857918
편의시설 多 품은 용산 ‘종합선물세트’,2020.08.25,서울신문,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003118222
용산초교 내일 등교중단…인근 국방부 어린이집 확진자 발생영향,2020.06.28,연합뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=001&aid=0011708700
